ID	AG	AM	BE	BLK	CO	DA	DI	ER	FI	FS	GL	GU	HC	HO	HR	IJ	IN	IV	JR	NE	NI	NO	NR	PB	PE	PO	RB	TH	TL	TO	TU	YN
MY.M2	-0.1992	0.0717	0.032	-0.1936	-0.3571	-0.4017	-0.1862	0.0653	-0.0474	NA	NA	-0.0605	0.1111	-0.0389	-0.0398	0.0515	-0.0477	NA	-0.359	-0.0091	0.0701	-0.025	0.3869	-0.0886	-0.3055	NA	-0.0309	0.156	0.1315	-0.1103	-0.3714	NA
MY.M2.1	-0.1992	0.0717	0.032	-0.1936	-0.3571	-0.4017	NA	0.0653	-0.0474	-0.1546	-0.1769	-0.0605	0.1111	-0.0389	-0.0398	0.0515	-0.0477	NA	-0.359	-0.0091	0.0701	-0.025	0.3869	-0.0886	-0.3055	0.026	-0.0309	0.156	0.1315	-0.1103	-0.3714	-0.2041
NY	0.2195	0.1634	0.0204	-0.2496	-0.1658	-0.3406	-0.1342	NA	NA	NA	NA	0.1358	NA	-0.1517	0.3189	NA	-0.186	-0.0718	-0.1122	0.4184	0.4239	0.4252	0.5912	-0.3139	-0.248	NA	0.0697	0.1929	0.3761	NA	-0.0922	NA
NY.1	0.2195	0.1634	0.0204	-0.2496	-0.1658	-0.3406	-0.1342	0.2105	0.0503	0.2105	0.464	0.1358	0.1454	-0.1517	0.3189	-0.0374	-0.186	NA	-0.1122	0.4184	0.4239	0.4252	0.5912	-0.3139	-0.248	-0.095	0.0697	0.1929	0.3761	-0.0139	-0.0922	NA
OL.N	-0.1152	0.1402	0.0481	0.0498	-0.1467	-0.0478	-0.2778	-0.082	0.0237	-0.4066	0.118	-0.044	0.4646	0.1391	-0.0231	-0.0999	0.0562	NA	-0.1902	-0.193	-0.2918	-0.0069	0.0233	0.0986	0.1627	0.1549	0.3242	-0.1068	-0.1753	-0.0931	0.0448	-0.3013
PL	-0.2979	-0.0189	0.0502	0.1076	-0.1446	0.1195	-0.1641	-0.1337	-0.0825	NA	NA	-0.094	0.3685	0.1946	-0.2359	-0.2609	-0.0319	NA	-0.0394	-0.2403	-0.0743	-0.241	-0.1143	0.3254	0.3873	NA	0.4381	0.0613	-0.1195	0.013	0.0469	NA
PL.1	-0.2979	-0.0189	0.0502	0.1076	-0.1446	0.1195	NA	-0.1337	-0.0825	-0.0257	-0.0451	-0.094	0.3685	0.1946	-0.2359	-0.2609	-0.0319	NA	-0.0394	-0.2403	-0.0743	-0.241	-0.1143	0.3254	0.3873	0.4941	0.4381	0.0613	-0.1195	0.013	0.0469	-0.3573
RN.M2	-0.2661	0.0145	-0.0277	0.0312	-0.3602	-0.2367	NA	0.118	0.3921	0.0078	-0.2924	NA	0.1585	-0.0415	-0.2619	-0.0742	0.0414	NA	-0.1604	-0.2643	0.1225	-0.1488	0.1965	0.0808	0.0894	0.2531	0.1386	0.4359	0.0748	0.205	-0.2032	-0.2679
SA	-0.3327	0.0368	0.2622	-0.1048	0.2743	0.1688	0.0584	NA	NA	NA	NA	-0.1345	NA	0.0357	0.1873	NA	0.0585	0.3453	0.0132	0.2465	-0.0662	0.1111	-0.238	0.099	0.0542	NA	0.3642	0.0619	-0.0083	NA	0.5242	NA
SA.1	-0.3327	0.0368	0.2622	-0.1048	0.2743	0.1688	0.0584	0.0307	0.1306	-0.0713	0.3249	-0.1345	0.2614	0.0357	0.1873	0.1038	0.0585	NA	0.0132	0.2465	-0.0662	0.1111	-0.238	0.099	0.0542	0.099	0.3642	0.0619	-0.0083	0.2129	0.5242	NA
