dyad.type	mean.R
Mean PO	0.5206042553191489
Mean PO	0.49776382978723405
Mean PO	0.4879191489361702
Mean PO	0.5084212765957447
Mean PO	0.5208553191489361
Mean PO	0.5010787234042553
Mean PO	0.5209617021276596
Mean PO	0.46872553191489363
Mean PO	0.49429787234042555
Mean PO	0.5138170212765958
Mean PO	0.5013446808510639
Mean PO	0.5364531914893617
Mean PO	0.5042042553191489
Mean PO	0.5151127659574468
Mean PO	0.5359446808510638
Mean PO	0.5051872340425532
Mean PO	0.49741914893617023
Mean PO	0.5266702127659575
Mean PO	0.5072765957446809
Mean PO	0.5058510638297872
Mean PO	0.5124723404255319
Mean PO	0.5132702127659574
Mean PO	0.4982723404255319
Mean PO	0.5044212765957446
Mean PO	0.49711489361702127
Mean PO	0.5151553191489362
Mean PO	0.5103872340425532
Mean PO	0.5215021276595745
Mean PO	0.5237702127659575
Mean PO	0.5132851063829788
Mean PO	0.5105170212765957
Mean PO	0.4902723404255319
Mean PO	0.4948297872340426
Mean PO	0.5004276595744681
Mean PO	0.5257489361702128
Mean PO	0.5127489361702128
Mean PO	0.5282744680851064
Mean PO	0.4859063829787234
Mean PO	0.4971893617021277
Mean PO	0.5028212765957447
Mean PO	0.49432553191489365
Mean PO	0.4994723404255319
Mean PO	0.4843723404255319
Mean PO	0.503668085106383
Mean PO	0.5014382978723404
Mean PO	0.5288914893617022
Mean PO	0.5290765957446808
Mean PO	0.4942021276595745
Mean PO	0.4941255319148936
Mean PO	0.5204489361702128
Mean PO	0.5140659574468085
Mean PO	0.4843297872340426
Mean PO	0.5316510638297872
Mean PO	0.5189297872340426
Mean PO	0.5248446808510638
Mean PO	0.49862978723404255
Mean PO	0.4967468085106383
Mean PO	0.5196446808510639
Mean PO	0.5297489361702128
Mean PO	0.5134595744680851
Mean PO	0.542904255319149
Mean PO	0.5205531914893617
Mean PO	0.5296659574468086
Mean PO	0.5069872340425532
Mean PO	0.5148872340425532
Mean PO	0.5246936170212766
Mean PO	0.5047212765957447
Mean PO	0.4888297872340426
Mean PO	0.5069851063829787
Mean PO	0.5210914893617021
Mean PO	0.5044085106382978
Mean PO	0.5038595744680852
Mean PO	0.48671276595744684
Mean PO	0.5357787234042554
Mean PO	0.5115234042553192
Mean PO	0.5196255319148936
Mean PO	0.5475191489361703
Mean PO	0.5042170212765957
Mean PO	0.527931914893617
Mean PO	0.48573617021276594
Mean PO	0.5152191489361702
Mean PO	0.4993872340425532
Mean PO	0.4951808510638298
Mean PO	0.504631914893617
Mean PO	0.501804255319149
Mean PO	0.5338085106382978
Mean PO	0.5174765957446809
Mean PO	0.4844468085106383
Mean PO	0.4961340425531915
Mean PO	0.5149255319148937
Mean PO	0.49120851063829785
Mean PO	0.5099659574468085
Mean PO	0.507836170212766
Mean PO	0.4926872340425532
Mean PO	0.5224808510638298
Mean PO	0.5134191489361702
Mean PO	0.4838808510638298
Mean PO	0.51824042553191485
Mean PO	0.5297042553191489
Mean PO	0.5339680851063829
Mean PO	0.5155191489361702
Mean PO	0.5158148936170213
Mean PO	0.48224255319148934
Mean PO	0.4986063829787234
Mean PO	0.478668085106383
Mean PO	0.5089191489361702
Mean PO	0.501027659574468
Mean PO	0.5491404255319149
Mean PO	0.5116723404255319
Mean PO	0.5178127659574469
Mean PO	0.5166212765957446
Mean PO	0.5229702127659575
Mean PO	0.5089
Mean PO	0.47523829787234045
Mean PO	0.49723617021276595
Mean PO	0.5044744680851064
Mean PO	0.5289595744680851
Mean PO	0.5152021276595745
Mean PO	0.5122808510638298
Mean PO	0.5093276595744681
Mean PO	0.528440425531915
Mean PO	0.5300489361702128
Mean PO	0.5163531914893617
Mean PO	0.5089085106382979
Mean PO	0.4982531914893617
Mean PO	0.4915808510638298
Mean PO	0.4891
Mean PO	0.5210872340425532
Mean PO	0.5268787234042553
Mean PO	0.5043404255319149
Mean PO	0.5216978723404255
Mean PO	0.49132765957446806
Mean PO	0.5276872340425532
Mean PO	0.4991191489361702
Mean PO	0.48883191489361705
Mean PO	0.5253851063829788
Mean PO	0.5167510638297872
Mean PO	0.4830127659574468
Mean PO	0.4944510638297872
Mean PO	0.47986808510638296
Mean PO	0.5084744680851064
Mean PO	0.5166276595744681
Mean PO	0.4972382978723404
Mean PO	0.5287234042553192
Mean PO	0.4754340425531915
Mean PO	0.504
Mean PO	0.4951255319148936
Mean PO	0.5211893617021277
Mean PO	0.5288489361702128
Mean PO	0.510031914893617
Mean PO	0.5140148936170212
Mean PO	0.5114382978723404
Mean PO	0.502240425531915
Mean PO	0.5159723404255319
Mean PO	0.5201212765957447
Mean PO	0.5278382978723404
Mean PO	0.5639659574468086
Mean PO	0.5091978723404256
Mean PO	0.5315446808510639
Mean PO	0.5234085106382979
Mean PO	0.528568085106383
Mean PO	0.5198851063829787
Mean PO	0.5109063829787234
Mean PO	0.5079361702127659
Mean PO	0.4950127659574468
Mean PO	0.4957808510638298
Mean PO	0.5368744680851064
Mean PO	0.4852404255319149
Mean PO	0.5286872340425532
Mean PO	0.5376468085106383
Mean PO	0.4961468085106383
Mean PO	0.5105234042553192
Mean PO	0.5030617021276595
Mean PO	0.5438404255319149
Mean PO	0.5187723404255319
Mean PO	0.5022340425531915
Mean PO	0.49727021276595745
Mean PO	0.5108425531914894
Mean PO	0.5074446808510639
Mean PO	0.5360957446808511
Mean PO	0.4896617021276596
Mean PO	0.5143106382978724
Mean PO	0.5067170212765958
Mean PO	0.5235914893617021
Mean PO	0.5107021276595745
Mean PO	0.5357340425531915
Mean PO	0.5071085106382979
Mean PO	0.5217617021276596
Mean PO	0.49184255319148934
Mean PO	0.5137872340425532
Mean PO	0.5040085106382979
Mean PO	0.49749787234042553
Mean PO	0.5326978723404255
Mean PO	0.5021021276595745
Mean PO	0.5415872340425532
Mean PO	0.518227659574468
Mean PO	0.5403297872340426
Mean PO	0.5146255319148936
Mean PO	0.5189191489361702
Mean PO	0.5225425531914893
Mean PO	0.5319744680851064
Mean PO	0.526227659574468
Mean PO	0.514027659574468
Mean PO	0.49835744680851063
Mean PO	0.5037702127659575
Mean PO	0.5072425531914894
Mean PO	0.501872340425532
Mean PO	0.5249702127659575
Mean PO	0.5328191489361702
Mean PO	0.5183404255319148
Mean PO	0.5220765957446809
Mean PO	0.5066851063829787
Mean PO	0.4972255319148936
Mean PO	0.5218893617021276
Mean PO	0.5069106382978723
Mean PO	0.4782595744680851
Mean PO	0.5112446808510638
Mean PO	0.49912978723404255
Mean PO	0.5138893617021276
Mean PO	0.5059510638297873
Mean PO	0.5304829787234042
Mean PO	0.48607872340425534
Mean PO	0.49661702127659574
Mean PO	0.5129765957446809
Mean PO	0.5191765957446809
Mean PO	0.5011872340425532
Mean PO	0.521636170212766
Mean PO	0.49508297872340423
Mean PO	0.5163531914893617
Mean PO	0.525
Mean PO	0.5222042553191489
Mean PO	0.5245170212765957
Mean PO	0.5231617021276596
Mean PO	0.5226659574468085
Mean PO	0.5093872340425531
Mean PO	0.5032127659574468
Mean PO	0.512663829787234
Mean PO	0.5246170212765957
Mean PO	0.49670212765957444
Mean PO	0.5111106382978724
Mean PO	0.5047553191489361
Mean PO	0.5273382978723404
Mean PO	0.5147723404255319
Mean PO	0.5123468085106383
Mean PO	0.49674893617021276
Mean PO	0.5025404255319149
Mean PO	0.533836170212766
Mean PO	0.552004255319149
Mean PO	0.5054
Mean PO	0.5061382978723404
Mean PO	0.5018468085106383
Mean PO	0.5350021276595744
Mean PO	0.5141872340425532
Mean PO	0.5226340425531915
Mean PO	0.5160829787234043
Mean PO	0.5122936170212766
Mean PO	0.5224148936170213
Mean PO	0.5172829787234042
Mean PO	0.49324255319148935
Mean PO	0.5339893617021276
Mean PO	0.5031127659574468
Mean PO	0.4992617021276596
Mean PO	0.512336170212766
Mean PO	0.5354021276595745
Mean PO	0.5197617021276596
Mean PO	0.4899063829787234
Mean PO	0.5092382978723404
Mean PO	0.49990425531914895
Mean PO	0.5196510638297872
Mean PO	0.5292021276595744
Mean PO	0.49469148936170215
Mean PO	0.49651702127659575
Mean PO	0.5084531914893617
Mean PO	0.5315765957446809
Mean PO	0.5281170212765958
Mean PO	0.5044170212765957
Mean PO	0.5115893617021277
Mean PO	0.5250446808510638
Mean PO	0.535663829787234
Mean PO	0.5018063829787234
Mean PO	0.5159404255319149
Mean PO	0.5251808510638297
Mean PO	0.5142297872340426
Mean PO	0.527563829787234
Mean PO	0.5114212765957447
Mean PO	0.5089021276595744
Mean PO	0.5031808510638298
Mean PO	0.47218936170212766
Mean PO	0.5176744680851064
Mean PO	0.5275382978723404
Mean PO	0.5292893617021277
Mean PO	0.5131531914893617
Mean PO	0.5080446808510638
Mean PO	0.5134297872340425
Mean PO	0.49116382978723405
Mean PO	0.5268553191489361
Mean PO	0.47402978723404254
Mean PO	0.5167106382978723
Mean PO	0.5353382978723404
Mean PO	0.5166446808510639
Mean PO	0.4921468085106383
Mean PO	0.4954723404255319
Mean PO	0.5172893617021277
Mean PO	0.5151787234042553
Mean PO	0.5409148936170213
Mean PO	0.5260744680851064
Mean PO	0.5220148936170212
Mean PO	0.5237872340425532
Mean PO	0.5134531914893617
Mean PO	0.5123659574468085
Mean PO	0.5169553191489362
Mean PO	0.49311063829787233
Mean PO	0.5208851063829787
Mean PO	0.5180872340425532
Mean PO	0.5238106382978723
Mean PO	0.5239340425531915
Mean PO	0.5375106382978724
Mean PO	0.4920063829787234
Mean PO	0.5202872340425532
Mean PO	0.5223191489361702
Mean PO	0.5030234042553191
Mean PO	0.5190638297872341
Mean PO	0.5000659574468085
Mean PO	0.5207212765957446
Mean PO	0.5280744680851064
Mean PO	0.5232170212765958
Mean PO	0.47847021276595747
Mean PO	0.5463638297872341
Mean PO	0.5005893617021276
Mean PO	0.5297106382978723
Mean PO	0.5263872340425532
Mean PO	0.5097617021276596
Mean PO	0.4877595744680851
Mean PO	0.5240659574468085
Mean PO	0.5211170212765958
Mean PO	0.5131340425531915
Mean PO	0.5142021276595745
Mean PO	0.4687468085106383
Mean PO	0.5141382978723404
Mean PO	0.5389914893617022
Mean PO	0.5186872340425532
Mean PO	0.5229659574468085
Mean PO	0.5076914893617022
Mean PO	0.5018148936170213
Mean PO	0.46232340425531915
Mean PO	0.5004765957446808
Mean PO	0.5035829787234043
Mean PO	0.5194702127659574
Mean PO	0.5232489361702127
Mean PO	0.5458553191489361
Mean PO	0.48156382978723405
Mean PO	0.5277468085106383
Mean PO	0.4964872340425532
Mean PO	0.5031808510638298
Mean PO	0.49858936170212764
Mean PO	0.5016659574468085
Mean PO	0.5306212765957447
Mean PO	0.4868659574468085
Mean PO	0.4858021276595745
Mean PO	0.5082851063829787
Mean PO	0.5226553191489361
Mean PO	0.49902978723404257
Mean PO	0.5028829787234043
Mean PO	0.5245531914893617
Mean PO	0.5137340425531914
Mean PO	0.5154702127659575
Mean PO	0.4894553191489362
Mean PO	0.5073510638297872
Mean PO	0.5076744680851064
Mean PO	0.5285851063829787
Mean PO	0.5045106382978723
Mean PO	0.49177659574468086
Mean PO	0.4893404255319149
Mean PO	0.4905148936170213
Mean PO	0.5055191489361702
Mean PO	0.5366446808510639
Mean PO	0.5216978723404255
Mean PO	0.5106446808510638
Mean PO	0.5047595744680851
Mean PO	0.49933404255319147
Mean PO	0.4900212765957447
Mean PO	0.507631914893617
Mean PO	0.519131914893617
Mean PO	0.5196063829787234
Mean PO	0.5056276595744681
Mean PO	0.49175744680851063
Mean PO	0.49812978723404255
Mean PO	0.533931914893617
Mean PO	0.49993829787234045
Mean PO	0.5449574468085107
Mean PO	0.5184425531914894
Mean PO	0.5194234042553192
Mean PO	0.5405744680851063
Mean PO	0.5014021276595745
Mean PO	0.5237829787234043
Mean PO	0.47224680851063827
Mean PO	0.5198468085106382
Mean PO	0.4791595744680851
Mean PO	0.52004893617021275
Mean PO	0.5158957446808511
Mean PO	0.5102042553191489
Mean PO	0.5419489361702128
Mean PO	0.5255659574468086
Mean PO	0.4938872340425532
Mean PO	0.5169893617021276
Mean PO	0.4957063829787234
Mean PO	0.4921382978723404
Mean PO	0.5395787234042553
Mean PO	0.5266829787234043
Mean PO	0.5035510638297872
Mean PO	0.4807
Mean PO	0.49502978723404256
Mean PO	0.5192106382978723
Mean PO	0.5322297872340426
Mean PO	0.4931063829787234
Mean PO	0.5018595744680852
Mean PO	0.5147829787234043
Mean PO	0.5171574468085106
Mean PO	0.49811702127659574
Mean PO	0.5016936170212766
Mean PO	0.5137936170212766
Mean PO	0.516804255319149
Mean PO	0.4988234042553192
Mean PO	0.5183574468085106
Mean PO	0.5239659574468085
Mean PO	0.49607234042553194
Mean PO	0.5362382978723405
Mean PO	0.5077765957446808
Mean PO	0.5375382978723404
Mean PO	0.5168127659574469
Mean PO	0.49547446808510637
Mean PO	0.5205148936170213
Mean PO	0.5340510638297873
Mean PO	0.4985446808510638
Mean PO	0.5151872340425532
Mean PO	0.47768510638297873
Mean PO	0.48290212765957446
Mean PO	0.5069914893617021
Mean PO	0.5193276595744681
Mean PO	0.5036723404255319
Mean PO	0.498
Mean PO	0.5145978723404255
Mean PO	0.48707234042553194
Mean PO	0.5379191489361702
Mean PO	0.5169574468085106
Mean PO	0.5145659574468086
Mean PO	0.5219425531914894
Mean PO	0.5168851063829787
Mean PO	0.516
Mean PO	0.5189212765957447
Mean PO	0.5105531914893617
Mean PO	0.5322361702127659
Mean PO	0.5314382978723404
Mean PO	0.48942553191489363
Mean PO	0.5258297872340426
Mean PO	0.5211787234042553
Mean PO	0.5246148936170213
Mean PO	0.5256425531914893
Mean PO	0.49879787234042555
Mean PO	0.5440765957446808
Mean PO	0.5444787234042553
Mean PO	0.5173978723404256
Mean PO	0.47816382978723404
Mean PO	0.5217723404255319
Mean PO	0.5032425531914894
Mean PO	0.5289808510638297
Mean PO	0.4769893617021277
Mean PO	0.49473617021276595
Mean PO	0.5001851063829788
Mean PO	0.5224063829787234
Mean PO	0.500131914893617
Mean PO	0.48343829787234044
Mean PO	0.5380808510638297
Mean PO	0.4924872340425532
Mean PO	0.5401957446808511
Mean PO	0.5007191489361702
Mean PO	0.5029829787234043
Mean PO	0.5214829787234042
Mean PO	0.5119936170212765
Mean PO	0.5051595744680851
Mean PO	0.510736170212766
Mean PO	0.5046
Mean PO	0.5059957446808511
Mean PO	0.5265765957446809
Mean PO	0.5209425531914894
Mean PO	0.5424744680851064
Mean PO	0.5329957446808511
Mean PO	0.5357468085106383
Mean PO	0.4967468085106383
Mean PO	0.5338914893617022
Mean PO	0.5339553191489361
Mean PO	0.5243212765957447
Mean PO	0.5088765957446808
Mean PO	0.48431063829787235
Mean PO	0.4928446808510638
Mean PO	0.5201765957446809
Mean PO	0.510268085106383
Mean PO	0.5455489361702127
Mean PO	0.4828978723404255
Mean PO	0.5330872340425532
Mean PO	0.5349382978723404
Mean PO	0.5174021276595745
Mean PO	0.5172893617021277
Mean PO	0.5180872340425532
Mean PO	0.5062319148936171
Mean PO	0.4817085106382979
Mean PO	0.4945936170212766
Mean PO	0.49703617021276597
Mean PO	0.4806234042553192
Mean PO	0.524395744680851
Mean PO	0.5097553191489361
Mean PO	0.5192255319148936
Mean PO	0.5003595744680851
Mean PO	0.5204085106382978
Mean PO	0.5123510638297872
Mean PO	0.4939872340425532
Mean PO	0.4967
Mean PO	0.5280617021276596
Mean PO	0.4881617021276596
Mean PO	0.5165276595744681
Mean PO	0.5109553191489362
Mean PO	0.5067872340425532
Mean PO	0.47741063829787234
Mean PO	0.5040744680851064
Mean PO	0.49847659574468084
Mean PO	0.4915553191489362
Mean PO	0.5200170212765958
Mean PO	0.5136234042553192
Mean PO	0.5137170212765957
Mean PO	0.5241021276595744
Mean PO	0.5353744680851064
Mean PO	0.5128127659574468
Mean PO	0.499868085106383
Mean PO	0.5149617021276596
Mean PO	0.5289382978723405
Mean PO	0.4807446808510638
Mean PO	0.5534659574468085
Mean PO	0.5517404255319149
Mean PO	0.5270595744680852
Mean PO	0.5197106382978723
Mean PO	0.5066978723404255
Mean PO	0.49048297872340424
Mean PO	0.5146851063829787
Mean PO	0.5043319148936171
Mean PO	0.5194531914893618
Mean PO	0.49982765957446806
Mean PO	0.5097212765957447
Mean PO	0.5299659574468085
Mean PO	0.5012340425531915
Mean PO	0.5340425531914894
Mean PO	0.522463829787234
Mean PO	0.5163234042553192
Mean PO	0.5421978723404255
Mean PO	0.5338234042553192
Mean PO	0.4939723404255319
Mean PO	0.5148191489361702
Mean PO	0.531836170212766
Mean PO	0.48494468085106385
Mean PO	0.5077276595744681
Mean PO	0.5236148936170213
Mean PO	0.5054042553191489
Mean PO	0.5136765957446808
Mean PO	0.4991191489361702
Mean PO	0.49984255319148935
