ID	AG	AM	ANA2	AR	BA	BE	BLK	BR	BS	CO	DA	DB	DD	DI	ER	FE	FI	FS	GA	GD-N	GL	GU	HC	HE	HO	HR	IJ	IN	IV	IZ	JR	JU	KA	KI-M2	MD-J	MO	MY-M2	NE	NI	NO	NR	NY	OL-N	PB	PE	PL	PO	RB	RN-M2	RT-J	SA	TH	TL	TN-M2	TO	TU	TZ	UR	VD	VN-J	XI	YA	YN	ZU
HO	0.0092	-0.2891	0.0121	-0.4935	0.0497	0.1045	0.0502	0.2658	0.2708	0.0925	0.0629	-0.2324	0.0264	4e-4	0.0807	0.1029	0.0241	-0.1356	-0.2379	0.187	-0.1571	-0.0958	0.1243	0.4686	1	-0.0227	-0.0589	0.1464	0.0708	0.0824	0.1572	0.0126	0.2239	-0.0568	0.1919	-0.1831	-0.0389	-0.1429	-0.0223	0.2303	-0.0229	-0.1517	0.1391	-0.2389	0.1072	0.1946	0.3242	0.3245	-0.0415	0.2695	0.0357	-0.051	-0.1214	-0.0362	-0.0407	0.1014	-0.0266	0.148	-0.3743	-0.1459	-0.1089	-0.1258	-0.1824	-0.0815
HR	0.1322	0.0861	-0.0507	-0.1073	0.1082	0.1597	-0.0066	-0.0287	-0.0105	0.0919	0.0621	0.0469	-0.0671	-0.056	0.0258	-0.1784	0.1318	0.1882	0.0585	-0.3222	0.4485	-0.0445	0.4157	0.4681	-0.0227	1	0.4295	0.2806	0.4187	0.0242	-0.0419	-0.1443	0.0292	-0.3219	0.0295	-0.1839	-0.0398	0.7016	0.0846	0.0519	0.116	0.3189	-0.0231	-0.4091	-0.3403	-0.2359	-0.0709	0.0423	-0.2619	-0.0685	0.1873	0.0035	0.1983	0.0175	-0.0936	0.1568	-0.156	0.0972	-0.1881	-0.491	-0.2544	-0.3716	-0.2427	-0.1366
IJ	0.2311	0.0235	-0.0381	0.0016	-0.0966	0.0767	-0.2155	0.1664	0.0332	0.3308	0.2947	-0.2178	0.0556	-0.043	-0.145	-0.1346	0.0986	-0.1042	-0.2234	-0.014	-0.1199	-0.2338	0.3589	0.1266	-0.0589	0.4295	1	0.6102	0.5254	0.4017	-0.148	-0.3094	0.2475	-0.1858	0.1029	0.1409	0.0515	0.2716	-0.0999	-0.2691	0.0171	-0.0374	-0.0999	-0.2648	-0.3817	-0.2609	-0.1383	0.1571	-0.0742	0.074	0.1038	-0.04	0.1089	-0.1524	-0.2709	0.0743	-0.0674	0.2282	-0.138	-0.1532	-0.2358	-0.3641	0.0383	0.0185
IN	0.1924	-0.0771	-0.0574	-0.1498	0.0732	0.0247	-0.113	0.0454	0.0694	0.2277	0.2662	-0.2084	0.0489	-0.1997	-0.0832	0.0698	0.3216	-0.1283	-0.2993	0.1004	-0.2378	-0.2704	0.3806	0.369	0.1464	0.2806	0.6102	1	0.4733	0.4787	0.077	0.0832	0.4646	-0.327	0.2351	-0.014	-0.0477	0.2013	-0.3483	-0.3136	-0.1124	-0.186	0.0562	-0.2604	-0.2045	-0.0319	0.0197	0.0201	0.0414	0.2079	0.0585	-0.0579	0.0174	-0.1364	-0.2236	-0.0713	0.1169	0.4072	-0.1183	-0.2312	-0.1472	-0.3281	0.0281	-0.0832
IV	0.12	0.246	-0.0121	-0.0776	-0.2289	0.5149	-0.0288	-0.1546	0.0883	0.4377	0.4632	-0.1532	-0.0894	0.1583	-0.2853	0.2103	0.4142	0.1821	-0.2221	0.1805	0.225	-0.2367	0.3222	0.2289	0.0708	0.4187	0.5254	0.4733	1	0.0039	0.0956	0.1045	0.3764	-0.2655	0.0691	-0.0193	-0.0642	0.52	-0.1621	-0.2246	-0.1424	-0.0718	0.0704	-0.0987	-0.0274	0.0725	0.3286	0.5119	0.0514	0.2084	0.3453	0.1618	-0.2103	0.2335	-0.0648	0.4522	-0.1259	0.2464	0.0432	0.0671	-0.1876	-0.1546	-0.1584	0.0653
IZ	0.0662	-0.26	0.0691	-0.1228	-0.0204	-0.2567	-0.2543	0.118	0.0403	0.0395	-0.1187	-0.3177	-0.1267	-0.3649	0.0194	-0.319	-0.099	-0.3844	-0.2606	-0.1337	-0.2359	-0.3883	0.2783	0.1129	0.0824	0.0242	0.4017	0.4787	0.0039	1	-0.2095	-0.1611	0.1778	-0.2526	0.0808	-0.0086	-0.2841	-0.0544	-0.0327	-0.0804	-0.0319	-0.1145	0.0247	-0.0842	-0.2526	-0.2594	-0.2649	-0.0235	-0.112	0.1587	0.0295	-0.241	0.0325	-0.2806	-0.3287	-0.1412	-0.0395	0.202	-0.2793	-0.4113	-0.2764	-0.349	-0.1423	-0.1537
JR	0.041	-0.2874	-0.1815	-0.4245	-0.3034	0.1772	0.1785	0.0458	0.2271	-0.0659	0.29	0.4339	0.352	0.4894	-0.1958	0.2274	0.0511	-0.0463	-0.0563	-0.0349	-0.1152	0.0358	0.006	0.1899	0.1572	-0.0419	-0.148	0.077	0.0956	-0.2095	1	0.4236	0.053900000000000003	-0.2763	-0.1916	-0.1887	-0.359	-0.0137	-0.339	-0.0288	-0.1695	-0.1122	-0.1902	-0.3446	-0.1795	-0.0394	0.276	0.1212	-0.1604	-0.0839	0.0132	-0.0684	-0.2312	0.0961	0.0864	-0.0318	-0.0487	-0.0682	0.147	0.1067	0.0144	-0.0905	-0.0275	-0.2456
JU	-0.3098	-0.09	-0.0686	-0.3884	-0.0867	0.0819	0.2452	-0.0912	-0.0283	-0.0192	0.2549	-0.1351	-0.0802	-0.0184	-0.2016	0.2967	-0.0998	-0.0971	-0.1514	0.2129	-0.064	-0.2618	0.1511	0.2039	0.0126	-0.1443	-0.3094	0.0832	0.1045	-0.1611	0.4236	1	0.1536	-0.4555	-0.0931	-0.2818	-0.3729	-0.1072	-0.4037	-0.1403	-0.2186	-0.2658	0.1162	0.0764	0.0846	0.4293	0.348	0.2397	-0.1117	0.241	0.2138	-0.1748	-0.2387	-8e-4	0.094	0.1329	0.0144	0.1748	0.2795	0.1161	-0.1687	0.0037	-0.1957	0.0073
KA	0.0095	-0.0659	0.1218	-0.1442	-0.0605	0.1956	-0.1545	-0.3361	0.1436	0.1725	0.0577	-0.2075	-0.1444	-0.0983	-0.0724	0.0936	0.2183	-0.0236	-0.3052	0.3549	-0.2393	-0.4159	0.2471	0.3144	0.2239	0.0292	0.2475	0.4646	0.3764	0.1778	0.053900000000000003	0.1536	1	-0.0512	0.2228	-0.2083	0.0646	0.097	-0.3586	-0.0045	-0.1049	-0.0888	0.1266	-0.1627	0.1477	0.1283	0.2417	0.242	0.1118	0.445	0.4477	0.1543	-0.1084	0.1159	-0.0357	0.1426	-0.0222	0.3175	0.0572	0.0245	-0.1421	0.1093	0.1551	0.0739
KI-M2	0.0131	0.0763	-0.0338	0.053900000000000003	-0.1454	-0.2736	-0.3172	-0.2629	-0.367	-0.1176	-0.3478	-0.0014	0.0268	0.0508	0.1154	-0.0932	-0.108	0.1154	-0.4396	-0.1346	-0.2575	-0.0309	-0.4592	-0.4724	-0.0568	-0.3219	-0.1858	-0.327	-0.2655	-0.2526	-0.2763	-0.4555	-0.0512	1	-0.1464	-0.0731	-0.0265	-0.1138	0.031	-0.0472	-0.2878	-0.1629	-0.3655	-0.0971	0.0018	-0.3191	-0.1429	-0.1881	0.1055	-0.0952	-0.2594	0.053900000000000003	-0.0944	-0.0244	-0.0285	-0.186	-0.2181	-0.371	-0.2422	0.0728	0.1955	0.226	0.0966	-0.1057
MD-J	0.1314	0.1929	0.1957	-0.2745	0.2264	-0.2335	-0.1753	0.21560000000000001	-0.2362	0.0433	0.1165	-0.3468	-0.1143	-0.1682	0.1333	-0.0671	0.1854	-0.1375	-0.1406	0.0839	-0.0487	-0.2544	-0.1207	0.1719	0.1919	0.0295	0.1029	0.2351	0.0691	0.0808	-0.1916	-0.0931	0.2228	-0.1464	1	0.2709	-0.0954	0.0544	-0.2396	0.1696	-0.0709	0.0037	0.2994	-0.1283	0.0498	-0.1294	-0.0154	0.0978	-0.0433	0.3245	0.1867	0.058	-0.0163	0.0166	0.0619	0.2123	0.0999	0.2973	-0.0641	-0.0332	-0.2071	-0.0785	-0.0069	-0.0834
MO	0.1296	0.1818	0.1828	-0.0717	-0.2859	0.0118	-0.1278	0.2441	0.0099	-0.0691	0.1172	-0.1302	-0.2023	-0.0285	-0.1886	-0.0839	0.0838	-0.0514	-0.1451	0.1762	-0.1147	-0.1088	-0.2533	-0.2795	-0.1831	-0.1839	0.1409	-0.014	-0.0193	-0.0086	-0.1887	-0.2818	-0.2083	-0.0731	0.2709	1	-0.0613	-0.106	-0.0925	-0.0852	-0.1651	-0.1119	0.0441	0.1013	-0.0796	-0.2268	-0.088	0.007	-0.1561	0.0557	-0.1695	-0.0717	-0.3569	0.0791	-0.1946	0.0088	-0.1071	-0.0713	-0.0314	-0.0079	0.0052	0.0341	0.0146	-0.0514
MY-M2	-0.1992	0.0717	-0.0698	-0.0127	0.0926	0.032	-0.1936	-0.2919	0.0299	-0.3571	-0.4017	-0.1968	-0.3167	-0.1862	0.0653	-0.0267	-0.0474	-0.1546	0.0951	0.1226	-0.1769	-0.0605	0.1111	-0.0221	-0.0389	-0.0398	0.0515	-0.0477	-0.0642	-0.2841	-0.359	-0.3729	0.0646	-0.0265	-0.0954	-0.0613	1	-0.0091	0.0701	-0.025	0.3869	0.202	0.0154	-0.0886	-0.3055	0.0721	0.026	-0.0309	0.2753	-0.1434	-0.2372	0.156	0.1315	0.0017	-0.1103	-0.3714	-0.5051	-0.3233	-0.401	-0.3995	-0.0275	-0.0435	-0.2041	-0.0447
NE	0.2081	0.2555	0.0974	0.0311	-0.0889	0.2267	-0.2352	-0.2295	-0.1364	0.1989	0.085	0.1229	-0.0822	0.1811	-0.0488	-0.1876	0.149	0.4506	0.0795	-0.3201	0.5935	0.0336	0.1397	0.1878	-0.1429	0.7016	0.2716	0.2013	0.52	-0.0544	-0.0137	-0.1072	0.097	-0.1138	0.0544	-0.106	-0.0091	1	0.155	0.0772	0.0451	0.4184	-0.193	-0.2442	-0.2337	-0.2403	0.0668	0.1709	-0.2643	-0.0865	0.2465	0.1331	0.0127	0.2953	-0.1084	0.3794	-0.2268	-0.2102	-0.0833	-0.2642	-0.1673	-0.1384	-0.1927	-0.3484
NI	0.0087	-0.0747	-0.1737	0.1146	-0.1291	-0.1199	-0.1179	-0.0773	-0.0662	-0.0511	-0.2133	-0.1769	-0.1594	-0.0556	0.4049	-0.0657	0.078	0.1885	0.1084	-0.22	0.2834	0.1126	-0.0221	-0.1223	-0.0223	0.0846	-0.0999	-0.3483	-0.1621	-0.0327	-0.339	-0.4037	-0.3586	0.031	-0.2396	-0.0925	0.0701	0.155	1	0.0523	0.2558	0.4239	-0.2918	0.2113	-0.0048	-0.0743	-0.0141	0.0427	0.1225	-0.1805	-0.0662	0.2252	0.4124	-0.0367	0.1671	-0.0676	-0.0913	-0.2033	-0.125	-0.2038	-0.1093	-0.1752	-0.3604	-0.1902
NO	-0.1076	0.054	0.034	-0.3435	0.0088	0.072	-0.0497	0.0922	0.0698	-0.0398	-0.3384	-0.1147	-0.4094	-0.1653	0.047	-0.1157	-0.0154	-0.0721	0.1888	-0.2794	0.2703	0.0837	-0.114	0.1467	0.2303	0.0519	-0.2691	-0.3136	-0.2246	-0.0804	-0.0288	-0.1403	-0.0045	-0.0472	0.1696	-0.0852	-0.025	0.0772	0.0523	1	0.3436	0.4252	-0.0069	-0.2457	-0.1715	-0.241	-0.1212	0.0039	-0.1488	-0.0563	0.1111	-0.0992	-0.0574	0.0982	-0.0277	0.0684	-0.3686	-0.2603	-0.2583	-0.2698	-0.208	-0.068	-0.3806	-0.1913
NR	0.0557	-0.1611	-0.0466	-0.0956	-0.0633	0.0376	-0.009	-0.0281	0.1804	-0.2159	-0.4249	-0.0113	-0.4295	-0.2905	-0.0277	-0.012	-0.1236	-0.1679	0.0913	-0.2393	0.0504	-0.087	0.1478	0.0429	-0.0229	0.116	0.0171	-0.1124	-0.1424	-0.0319	-0.1695	-0.2186	-0.1049	-0.2878	-0.0709	-0.1651	0.3869	0.0451	0.2558	0.3436	1	0.5912	0.0233	-0.2577	-0.3438	-0.1143	-0.161	-0.0638	0.1965	0.0343	-0.238	-0.1433	0.2606	0.0118	-0.2199	-0.1584	-0.3514	-0.2682	-0.2684	-0.473	-0.4373	-0.1995	-0.4121	-0.2146
NY	0.2195	0.1634	-0.0776	0.1929	0.0198	0.0204	-0.2496	-0.0985	0.0729	-0.1658	-0.3406	0.0196	-0.3588	-0.1342	0.2105	-0.0358	0.0503	0.2105	0.3238	-0.3375	0.464	0.1358	0.1454	0.1402	-0.1517	0.3189	-0.0374	-0.186	-0.0718	-0.1145	-0.1122	-0.2658	-0.0888	-0.1629	0.0037	-0.1119	0.202	0.4184	0.4239	0.4252	0.5912	1	-0.0475	-0.3139	-0.248	-0.0976	-0.095	0.0697	-0.0133	-0.038	-0.0885	0.1929	0.3761	0.204	-0.0139	-0.0922	-0.367	-0.2707	-0.1504	-0.4476	-0.1765	-0.2896	-0.4924	-0.2632
OL-N	-0.1152	0.1402	0.1969	-0.1621	0.2869	0.0481	0.0498	-0.1752	0.2705	-0.1467	-0.0478	-0.289	-0.2986	-0.2778	-0.082	-0.0657	0.0237	-0.4066	0.2074	0.2375	0.118	-0.044	0.4646	0.3503	0.1391	-0.0231	-0.0999	0.0562	0.0704	0.0247	-0.1902	0.1162	0.1266	-0.3655	0.2994	0.0441	0.0154	-0.193	-0.2918	-0.0069	0.0233	-0.0475	1	0.0986	0.1627	0.4091	0.1549	0.3242	0.0677	0.3254	0.2384	-0.1068	-0.1753	0.0179	-0.0931	0.0448	-0.0913	0.3482	-0.25	-0.0891	-0.254	-0.1262	-0.3013	0.2426
PB	-0.3061	0.1564	0.1536	-0.044	-0.1875	-0.0569	0.0037	-0.1738	-0.177	-0.0447	0.0754	-0.3517	-0.2057	-0.1065	0.0938	-0.0588	-0.0222	-0.0761	-0.0331	0.0978	-0.0975	-0.0912	-0.1157	-0.3663	-0.2389	-0.4091	-0.2648	-0.2604	-0.0987	-0.0842	-0.3446	0.0764	-0.1627	-0.0971	-0.1283	0.1013	-0.0886	-0.2442	0.2113	-0.2457	-0.2577	-0.3139	0.0986	1	0.4147	0.3254	0.0545	0.1731	0.0808	-0.0023	0.099	0.13	-0.2297	-0.0286	0.1296	0.2339	0.0508	0.0061	0.0772	0.2779	-0.0047	0.0303	-0.3061	0.0938
PE	-0.0338	-0.003	0.0337	0.0808	-0.1136	0.0695	0.0712	-0.1641	-0.0492	0.0625	0.0841	-0.2806	-0.1484	-0.1537	-0.0101	0.1261	0.156	-0.0101	-0.1269	0.1056	-0.2588	-0.1356	-0.0562	-0.0451	0.1072	-0.3403	-0.3817	-0.2045	-0.0274	-0.2526	-0.1795	0.0846	0.1477	0.0018	0.0498	-0.0796	-0.3055	-0.2337	-0.0048	-0.1715	-0.3438	-0.248	0.1627	0.4147	1	0.3873	0.1221	0.2395	0.0894	0.2993	0.0542	0.1957	-0.2739	0.0376	0.2452	0.2412	0.1283	0.1702	-0.0433	0.2849	0.1032	0.2408	-0.1082	0.1583
PL	-0.2979	-0.0189	-0.0477	-0.2148	0.0514	0.0502	0.1076	-0.1241	0.1601	-0.1446	0.1195	-0.5098	-0.1573	-0.1641	-0.1337	0.3284	-0.0825	-0.0257	0.0606	0.4419	-0.0451	-0.094	0.3685	0.2339	0.1946	-0.2359	-0.2609	-0.0319	0.0725	-0.2594	-0.0394	0.4293	0.1283	-0.3191	-0.1294	-0.2268	0.0721	-0.2403	-0.0743	-0.241	-0.1143	-0.0976	0.4091	0.3254	0.3873	1	0.4941	0.4381	0.1791	0.383	-0.0135	0.0613	-0.1195	-0.1433	0.013	0.0469	-0.0885	0.2995	-0.0599	0.0849	-0.1072	-0.0752	-0.3573	0.1902
PO	-0.1102	0.0439	0.1536	-0.3919	-0.1875	0.178	0.0623	-0.1228	0.1172	-0.0944	0.191	-0.1754	-0.061	0.4177	-0.0761	0.4118	0.0914	0.2637	-0.1364	0.4693	0.0758	-0.0912	0.1886	0.2547	0.3242	-0.0709	-0.1383	0.0197	0.3286	-0.2649	0.276	0.348	0.2417	-0.1429	-0.0154	-0.088	0.026	0.0668	-0.0141	-0.1212	-0.161	-0.095	0.1549	0.0545	0.1221	0.4941	1	0.5275	0.2531	0.1746	0.099	0.304	-0.2856	0.2	0.0752	0.175	-0.1525	0.0584	0.0772	0.1575	-0.0549	0.0303	-0.2439	-0.1894
RB	-0.0444	0.1006	0.3493	-0.2174	-0.1869	0.3544	0.0627	0.0817	0.1176	0.2044	0.3069	-0.2336	-0.1089	0.3015	-0.0756	0.1768	0.0918	0.0376	-0.1359	0.4165	0.134	-0.0908	0.4931	0.3172	0.3245	0.0423	0.1571	0.0201	0.5119	-0.0235	0.1212	0.2397	0.242	-0.1881	0.0978	0.007	-0.0309	0.1709	0.0427	0.0039	-0.0638	0.0697	0.3242	0.1731	0.2395	0.4381	0.5275	1	0.1386	0.2339	0.3642	0.3043	-0.1733	0.2575	0.13	0.4699	-0.1519	0.1634	0.0118	0.218	-0.1047	-0.0203	-0.3055	0.0376
RN-M2	-0.2661	0.0145	-0.1992	-0.1847	-0.0313	-0.0277	0.0312	-0.1953	-0.0872	-0.3602	-0.2367	-0.2571	-0.3196	-0.1327	0.118	0.4281	0.3921	0.0078	-0.2094	0.1722	-0.2924	-0.1694	0.1585	-0.0853	-0.0415	-0.2619	-0.0742	0.0414	0.0514	-0.112	-0.1604	-0.1117	0.1118	0.1055	-0.0433	-0.1561	0.2753	-0.2643	0.1225	-0.1488	0.1965	-0.0133	0.0677	0.0808	0.0894	0.1791	0.2531	0.1386	1	0.0255	-0.1369	0.4359	0.0748	0.0547	0.205	-0.2032	-0.0503	0.1327	-0.1497	0.0644	-0.2751	0.0537	-0.2679	0.0078
RT-J	0.2183	0.1021	0.1558	-0.0416	0.1271	0.1213	0.0059	-0.0696	0.2367	0.0566	0.1351	-0.29	-0.059	-0.2202	-0.1302	0.237	0.0934	-0.1302	-0.2888	0.2586	-0.2103	-0.4156	0.1902	0.1946	0.2695	-0.0685	0.074	0.2079	0.2084	0.1587	-0.0839	0.241	0.445	-0.0952	0.3245	0.0557	-0.1434	-0.0865	-0.1805	-0.0563	0.0343	-0.038	0.3254	-0.0023	0.2993	0.383	0.1746	0.2339	0.0255	1	0.0479	-0.0416	-0.0597	0.0878	-0.0314	0.2356	0.121	0.4258	0.0139	-0.0206	-0.2033	-0.0187	-0.0548	0.3219
SA	-0.3327	0.0368	0.1332	-0.1987	0.0527	0.2622	-0.1048	-0.2535	0.0495	0.2743	0.1688	-0.213	-0.2787	0.0584	0.0307	-0.2668	0.1306	-0.0713	0.1082	-0.0101	0.3249	-0.1345	0.2614	0.2242	0.0357	0.1873	0.1038	0.0585	0.3453	0.0295	0.0132	0.2138	0.4477	-0.2594	0.1867	-0.1695	-0.2372	0.2465	-0.0662	0.1111	-0.238	-0.0885	0.2384	0.099	0.0542	-0.0135	0.099	0.3642	-0.1369	0.0479	1	0.0619	-0.0083	0.1258	0.2129	0.5242	0.1614	0.2878	0.2405	0.2458	-0.3729	0.025	0.0013	0.2348
TH	-0.0235	0.2266	0.0433	-0.0249	-0.0416	0.0779	-0.1506	-0.155	-0.1552	-0.1752	0.0355	-0.1537	-0.1399	0.1425	0.2768	0.134	0.3307	0.1656	-0.0671	0.0607	-0.0208	0.0348	0.0519	0.0257	-0.051	0.0035	-0.04	-0.0579	0.1618	-0.241	-0.0684	-0.1748	0.1543	0.053900000000000003	0.058	-0.0717	0.156	0.1331	0.2252	-0.0992	-0.1433	0.1929	-0.1068	0.13	0.1957	0.0613	0.304	0.3043	0.4359	-0.0416	0.0619	1	0.0665	0.3266	0.5188	0.0746	0.1374	-0.0289	0.0318	0.1734	-0.0382	-0.155	-0.3416	-0.0013
TL	0.0173	-0.0667	-0.2249	0.0665	0.2339	-0.2222	-0.1646	-0.1185	-0.0579	-0.139	-0.2587	-0.2233	-0.1058	-0.323	0.4094	-0.113	-0.0765	-0.0738	0.0653	-0.1609	0.0154	0.0672	0.1782	0.0041	-0.1214	0.1983	0.1089	0.0174	-0.2103	0.0325	-0.2312	-0.2387	-0.1084	-0.0944	-0.0163	-0.3569	0.1315	0.0127	0.4124	-0.0574	0.2606	0.3761	-0.1753	-0.2297	-0.2739	-0.1195	-0.2856	-0.1733	0.0748	-0.0597	-0.0083	0.0665	1	-0.2453	0.3282	-0.338	0.2366	0.1039	-0.0532	-0.3647	-0.053900000000000003	-0.2644	-0.1146	-0.0738
