dyad.type	mean.R
Mean PO	0.5375574468085106
Mean PO	0.5159638297872341
Mean PO	0.5132744680851064
Mean PO	0.5203276595744681
Mean PO	0.49988510638297873
Mean PO	0.5253127659574468
Mean PO	0.5252106382978723
Mean PO	0.5391361702127659
Mean PO	0.5129638297872341
Mean PO	0.527536170212766
Mean PO	0.513568085106383
Mean PO	0.5129297872340426
Mean PO	0.514631914893617
Mean PO	0.4920191489361702
Mean PO	0.5029361702127659
Mean PO	0.5538106382978724
Mean PO	0.5230063829787234
Mean PO	0.531836170212766
Mean PO	0.5336723404255319
Mean PO	0.5042425531914894
Mean PO	0.5025978723404255
Mean PO	0.5164106382978724
Mean PO	0.5271851063829788
Mean PO	0.5295872340425531
Mean PO	0.4814851063829787
Mean PO	0.521636170212766
Mean PO	0.5106510638297872
Mean PO	0.5069851063829788
Mean PO	0.4973148936170213
Mean PO	0.5453446808510638
Mean PO	0.5067489361702128
Mean PO	0.5157574468085107
Mean PO	0.5279425531914894
Mean PO	0.5518148936170213
Mean PO	0.5674553191489362
Mean PO	0.5288765957446808
Mean PO	0.49929787234042555
Mean PO	0.4978531914893617
Mean PO	0.5251468085106383
Mean PO	0.5277510638297872
Mean PO	0.5203829787234042
Mean PO	0.5089510638297873
Mean PO	0.5137765957446808
Mean PO	0.500072340425532
Mean PO	0.5287404255319149
Mean PO	0.5251191489361702
Mean PO	0.5266446808510639
Mean PO	0.5253382978723404
Mean PO	0.5411723404255319
Mean PO	0.48742340425531916
Mean PO	0.507363829787234
Mean PO	0.5282382978723404
Mean PO	0.5214595744680851
Mean PO	0.5260659574468085
Mean PO	0.5233340425531915
Mean PO	0.5008170212765958
Mean PO	0.5217574468085107
Mean PO	0.5307936170212766
Mean PO	0.5380297872340426
Mean PO	0.5060127659574468
Mean PO	0.5517702127659575
Mean PO	0.5280659574468085
Mean PO	0.5417489361702128
Mean PO	0.5341553191489362
Mean PO	0.5132063829787235
Mean PO	0.5248234042553191
Mean PO	0.5189382978723405
Mean PO	0.5236595744680851
Mean PO	0.5214893617021277
Mean PO	0.5206
Mean PO	0.5094553191489362
Mean PO	0.5015914893617022
Mean PO	0.5302574468085106
Mean PO	0.5427127659574468
Mean PO	0.5306978723404255
Mean PO	0.5342510638297873
Mean PO	0.548004255319149
Mean PO	0.5212744680851064
Mean PO	0.5268808510638298
Mean PO	0.5224297872340425
Mean PO	0.5181361702127659
Mean PO	0.48298723404255317
Mean PO	0.4984127659574468
Mean PO	0.5103936170212766
Mean PO	0.5327595744680851
Mean PO	0.5007765957446808
Mean PO	0.5377276595744681
Mean PO	0.5156489361702128
Mean PO	0.5013021276595745
Mean PO	0.4899936170212766
Mean PO	0.49152978723404256
Mean PO	0.5308382978723404
Mean PO	0.560004255319149
Mean PO	0.5057574468085106
Mean PO	0.5207808510638298
Mean PO	0.4850255319148936
Mean PO	0.5425106382978724
Mean PO	0.5331936170212765
Mean PO	0.5472212765957447
Mean PO	0.5122744680851063
