rel	dyad_type
0.1016	Half Siblings
0.2801	Half Siblings
-0.0637	Half Siblings
0.4872	Half Siblings
0.218	Half Siblings
0.1931	Half Siblings
-0.1058	Half Siblings
0.3403	Half Siblings
0.4885	Half Siblings
0.1333	Half Siblings
0.4109	Half Siblings
0.2259	Half Siblings
0.4665	Half Siblings
0.2506	Half Siblings
0.1071	Half Siblings
0.2544	Half Siblings
0.2306	Half Siblings
0.3761	Half Siblings
0.2899	Half Siblings
0.4432	Half Siblings
-0.1466	Half Siblings
0.3995	Half Siblings
0.2249	Half Siblings
0.1874	Half Siblings
0.1751	Half Siblings
0.2282	Half Siblings
0.5802	Half Siblings
0.3472	Half Siblings
0.0844	Half Siblings
0.3288	Half Siblings
0.356	Half Siblings
0.5327	Half Siblings
0.5121	Half Siblings
0.2154	Half Siblings
0.3293	Half Siblings
0.5374	Half Siblings
0.4001	Half Siblings
0.5545	Half Siblings
0.1079	Half Siblings
0.0458	Half Siblings
0.2869	Half Siblings
0.0021	Half Siblings
0.2409	Half Siblings
0.2432	Half Siblings
0.3314	Half Siblings
0.2396	Half Siblings
0.2102	Half Siblings
0.4626	Half Siblings
0.0821	Half Siblings
0.3954	Half Siblings
0.2425	Unrelated
-0.1921	Unrelated
0.0392	Unrelated
-0.2014	Unrelated
-0.1338	Unrelated
-0.263	Unrelated
0.1019	Unrelated
0.1102	Unrelated
0.2133	Unrelated
-9e-4	Unrelated
0.0791	Unrelated
0.1374	Unrelated
0.0709	Unrelated
0.0956	Unrelated
0.0444	Unrelated
-0.157	Unrelated
-0.0503	Unrelated
-0.1567	Unrelated
0.0191	Unrelated
0.2232	Unrelated
0.3016	Unrelated
0.3999	Unrelated
0.0472	Unrelated
0.0496	Unrelated
-0.1239	Unrelated
0.1655	Unrelated
0.0885	Unrelated
0.2743	Unrelated
-0.0753	Unrelated
-0.1387	Unrelated
0.0662	Unrelated
-0.0085	Unrelated
0.0648	Unrelated
-0.2723	Unrelated
-0.1771	Unrelated
-0.0086	Unrelated
0.2162	Unrelated
0.138	Unrelated
0.0667	Unrelated
0.2387	Unrelated
0.2928	Unrelated
0.233	Unrelated
-0.1465	Unrelated
0.1211	Unrelated
-0.1691	Unrelated
0.2772	Unrelated
-0.1228	Unrelated
0.0049	Unrelated
-0.0714	Unrelated
0.1142	Unrelated
-0.0198	Unrelated
-0.2081	Unrelated
0.1914	Unrelated
-0.1713	Unrelated
0.0298	Unrelated
-0.1296	Unrelated
-0.045	Unrelated
0.1735	Unrelated
-0.1952	Unrelated
0.0526	Unrelated
0.2735	Unrelated
-0.1805	Unrelated
0.1101	Unrelated
-0.0294	Unrelated
0.1156	Unrelated
0.0682	Unrelated
0.1248	Unrelated
0.2083	Unrelated
-0.091	Unrelated
-0.2472	Unrelated
-5e-4	Unrelated
0.1393	Unrelated
0.1369	Unrelated
-0.4098	Unrelated
0.1734	Unrelated
-0.3799	Unrelated
-0.0097	Unrelated
-0.0738	Unrelated
-0.1125	Unrelated
0.1024	Unrelated
0.1355	Unrelated
0.2037	Unrelated
-0.02	Unrelated
-0.1345	Unrelated
-0.1895	Unrelated
0.1516	Unrelated
-0.0382	Unrelated
0.112	Unrelated
0.0147	Unrelated
-0.0672	Unrelated
0.2247	Unrelated
-0.0403	Unrelated
-0.0131	Unrelated
0.0948	Unrelated
-0.1133	Unrelated
0.1584	Unrelated
-0.1554	Unrelated
0.0953	Unrelated
0.0249	Unrelated
-0.2765	Unrelated
