rel	dyad_type
0.4123	Half Siblings
0.4673	Half Siblings
0.3292	Half Siblings
0.3664	Half Siblings
0.1245	Half Siblings
0.1234	Half Siblings
0.0958	Half Siblings
0.0637	Half Siblings
0.3907	Half Siblings
0.1468	Half Siblings
0.2656	Half Siblings
0.3144	Half Siblings
0.61240000000000006	Half Siblings
0.3664	Half Siblings
0.2958	Half Siblings
0.1545	Half Siblings
0.3443	Half Siblings
0.2079	Half Siblings
0.2268	Half Siblings
0.5698	Half Siblings
0.1144	Half Siblings
0.3101	Half Siblings
0.5039	Half Siblings
0.5657	Half Siblings
0.1203	Half Siblings
-0.1412	Half Siblings
0.0211	Half Siblings
0.2152	Half Siblings
-0.0243	Half Siblings
0.0092	Half Siblings
0.3755	Half Siblings
0.372	Half Siblings
0.2898	Half Siblings
0.3317	Half Siblings
-0.102	Half Siblings
0.131	Half Siblings
0.0848	Half Siblings
0.3414	Half Siblings
0.3057	Half Siblings
0.306	Half Siblings
0.2935	Half Siblings
0.3612	Half Siblings
0.1652	Half Siblings
0.4094	Half Siblings
0.4117	Half Siblings
0.1395	Half Siblings
0.1388	Half Siblings
0.0667	Half Siblings
0.4235	Half Siblings
0.2037	Unrelated
0.0205	Unrelated
0.0667	Unrelated
0.2111	Unrelated
0.0135	Unrelated
-0.0587	Unrelated
-0.0552	Unrelated
0.1079	Unrelated
-0.0819	Unrelated
-0.0873	Unrelated
-0.0388	Unrelated
0.2053	Unrelated
-0.1336	Unrelated
-0.1093	Unrelated
0.3616	Unrelated
-0.2324	Unrelated
-0.0981	Unrelated
0.194	Unrelated
0.1458	Unrelated
0.2459	Unrelated
0.0997	Unrelated
-0.0545	Unrelated
-0.0288	Unrelated
0.1028	Unrelated
-0.106	Unrelated
0.0862	Unrelated
0.1538	Unrelated
0.0945	Unrelated
0.1375	Unrelated
-0.282	Unrelated
-0.1998	Unrelated
0.0836	Unrelated
0.0538	Unrelated
-0.0828	Unrelated
0.0199	Unrelated
0.0648	Unrelated
0.1501	Unrelated
-0.3212	Unrelated
0.0775	Unrelated
-0.1709	Unrelated
0.0817	Unrelated
-0.303	Unrelated
-0.0989	Unrelated
-0.0608	Unrelated
-0.1813	Unrelated
-0.2124	Unrelated
0.0503	Unrelated
0.0023	Unrelated
0.0094	Unrelated
0.1376	Unrelated
0.2111	Unrelated
-0.2853	Unrelated
0.2698	Unrelated
-0.3162	Unrelated
-0.2243	Unrelated
-0.2734	Unrelated
-0.0209	Unrelated
-0.024	Unrelated
-0.1912	Unrelated
-0.125	Unrelated
-0.2077	Unrelated
0.0262	Unrelated
-0.1631	Unrelated
-0.0542	Unrelated
-0.1954	Unrelated
0.2177	Unrelated
0.1371	Unrelated
-0.0667	Unrelated
-0.078	Unrelated
0.0843	Unrelated
0.2304	Unrelated
-0.0847	Unrelated
-0.1802	Unrelated
-0.3914	Unrelated
0.0801	Unrelated
-0.0609	Unrelated
0.2066	Unrelated
-0.1976	Unrelated
-0.2037	Unrelated
-0.1201	Unrelated
0.1556	Unrelated
0.0285	Unrelated
-0.0117	Unrelated
-0.0216	Unrelated
0.0742	Unrelated
-0.2042	Unrelated
-0.147	Unrelated
0.1413	Unrelated
-0.2812	Unrelated
-0.0201	Unrelated
-0.2727	Unrelated
-0.0599	Unrelated
0.0957	Unrelated
0.1766	Unrelated
0.2648	Unrelated
-0.1072	Unrelated
-0.0075	Unrelated
-0.1832	Unrelated
0.1208	Unrelated
0.262	Unrelated
