*, KINSHIP PRIMARY/NULL RATIO [base 10 log]
*, Primary
*, Rm = 1  Rp = 0
*, Null
*, Rm = 0  Rp = 0
*, 1000000 simulated pairs used to perform significance test.
*, p<, log10, type II
*, *5%, x, 0%
*, **1%, x, 0%
*, ***0.1%, 2.1049, 14%
*, ID , NY, BR, ZU, YA, KI-M2, MD-J, MY-M2, SA, TN-M2, UR, VD, XI, DB, FE, GA, IZ, JU, HE, TZ, KA, PL, BM, HG, JB, KPA, NV, PTN, TCA, FRD, IC, KNA, MEL, MTR, XHI, YY, DN, FELC, GH, SF, US, VG, TRN, ZMA, JR, RB, PE, TU, HO, NI, GU, AG, CO, IN, BE, NE, DA, TH, PB, NR, IJ, HR, TL, AM, BLK, DI, IV, NO, HC, ANA2, AR, BA, BAB, BER, BLCO, BS, DD, DNG, ER, FI, FLP, FS, GD-N, GL, GOD, HVN, IKY, JRB, MAG, MAO, MAR, MO, NTV, OL-N, ORP, PO, PTH, RN-M2, RT-J, RUS, SCO, SLM, TLT, TO, URT, VEN, VN-J, VTR, XHT, YN, YNG, ZLC
*, XI, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x
*, DB, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, ***, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, FE, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, **, x, ***, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, ***, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, GA, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, IZ, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, **, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, JU, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, HE, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x,  , x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, ***, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, TZ, x, x, x, x, x, x, x, x, x, **, **, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, **, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, ***, **, x, x, x, x, x, x, x
*, KA, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, PL, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, **, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, **, x, **, **, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x
*, BM, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, HG, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, JB, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, ***, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, KPA, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x,  , x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x
*, NV, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, PTN, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, **, x, x, x, **, x,  , x, x, x, x, x, x, x, x, x, **, **, x, x, x, **, x, x, **, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, TCA, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, FRD, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, IC, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, KNA, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, MEL, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x
*, MTR, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, XHI, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, YY, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, DN, x, x, x, x, x, x, x, x, ***, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, FELC, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, **, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x
*, GH, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, SF, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, US, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, ***, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, ***, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, VG, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, TRN, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, ZMA, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, JR, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, RB, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, **, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x,  , x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, ***, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, PE, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, ***
*, TU, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x,  , x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, HO, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, NI, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, GU, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, AG, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x
*, CO, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, **, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, IN, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
*, BE, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, **, x, x, x, ***, ***, x, x, x, **, x, x, x, x, x, x,  , x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x
*, NE, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x,  , x, x, x, x, x, ***, x, x, x, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, ***, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, **, x, ***, x, x, x, x, x, x, x
*, DA, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, ***, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x, x, x, x, x, x, x, x, x, **, x, x, x,  , x, x, x, x, x, x, x, x, **, **, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x
